game_id,description
1,"An open-world action RPG where you play as a monster hunter seeking his adopted daughter."
2,"A challenging fantasy action-RPG set in a vast open world created by FromSoftware and George R.R. Martin."
3,"An epic open-world fantasy RPG that allows you to be anyone and do anything in the province of Skyrim."
4,"A relaxing open-ended country-life RPG where you build a farm, fish, and befriend villagers."
5,"A western action-adventure game following the story of outlaw Arthur Morgan and the Van der Linde gang."
6,"A punishing action RPG known for its intense combat, dark fantasy lore, and intricate interconnected world."
7,"A tactical 5v5 character-based shooter where precise gunplay meets unique agent abilities."
8,"The premier tactical first-person shooter with team-based gameplay and high skill ceiling."
9,"A fast-paced battle royale hero shooter where legendary characters fight for glory and fame."
10,"A team-based hero shooter featuring a diverse cast of heroes fighting in 5v5 matches."
11,"A fast-paced first-person shooter where you play as the Doom Slayer fighting armies of hell."
12,"An open-world first-person shooter set in Montana fighting a doomsday cult."
13,"A survival horror simulator where you build, explore, and survive against cannibalistic mutants."
14,"A sandbox game about placing blocks and going on adventures in an infinite procedurally generated world."
15,"A 2D sandbox adventure game with emphasis on exploration, building, crafting, and combat."
16,"A rogue-like dungeon crawler where you defy the god of the dead to escape the Underworld."
17,"An open-world action-adventure RPG set in the megalopolis of Night City, obsessed with power and modification."
18,"A story-rich party-based RPG set in the universe of Dungeons & Dragons where your choices shape the tale."
19,"A multiplayer game of teamwork and betrayal where you work together to prep your spaceship."
20,"An asymmetrical multiplayer horror game where one player hunts four survivors."
21,"An underwater adventure game set on an alien ocean planet full of wonder and peril."
22,"A science fiction exploration game set in an infinite procedurally generated universe."
23,"A multiplayer survival game where the only aim is to survive using resources and player interactions."
24,"A co-op action horror FPS where you fight through hordes of zombies."
25,"A 2D action-adventure metroidvania through a vast ruined kingdom of insects and heroes."
26,"An open-world action RPG where you lead Viking raids and settle in England."
27,"An action-adventure game starring Peter Parker fighting crime in an open-world New York City."
28,"A mythological action-adventure following Kratos and his son Atreus in the world of Norse gods."
29,"An action role-playing game where you hunt robotic dinosaurs in a post-apocalyptic world."
30,"An emotional action-adventure game focused on a journey of revenge and survival in a post-pandemic US."
